xm,ym,zm
0,303,40
5,304,40
10,304,41
15,305,40
20,306,40
25,307,42
30,309,41
35,308,41
40,309,42
45,308,42
50,310,42
55,309,42
60,309,41
65,309,43
70,509,637
75,756,806
80,865,857
85,904,876
90,922,885
95,930,888
100,935,890
105,936,889
110,934,889
115,933,887
120,935,891
125,937,894
130,934,891
135,930,889
140,931,890
145,933,893
150,932,896
155,931,893
160,927,890
165,926,891
170,928,892
175,932,896
180,933,897
185,929,894
190,930,894
195,926,891
200,924,890
205,929,896
210,929,896
215,929,896
220,925,894
225,922,891
230,924,894
235,928,896
240,925,894
245,926,896
250,927,896
255,925,894
260,922,892
265,924,895
270,927,897
275,926,897
280,924,895
285,922,893
290,921,894
295,923,896
300,924,895
305,926,898
310,924,896
315,925,897
320,923,896
325,917,890
330,918,891
335,921,894
340,919,894
345,923,897
350,924,898
355,921,895
360,923,897
365,919,894
370,915,890
375,918,893
380,919,895
385,918,894
390,919,893
395,916,893
400,917,893
405,917,893
410,921,898
415,921,896
420,917,893
425,916,891
430,913,889
435,905,889
440,891,884
445,872,880
450,840,867
455,802,853
460,756,834
465,708,816
470,658,792
475,610,767
480,563,733
485,521,694
490,487,652
495,456,605
500,429,552
505,408,500
510,392,452
515,376,405
520,362,362
525,351,326
530,343,293
535,336,268
540,329,246
545,322,225
550,319,211
555,314,198
560,312,188
565,307,177
570,305,170
575,303,162
580,300,156
585,299,150
590,296,145
595,295,143
600,294,139
