xm,ym,zm
500,441,395
505,424,363
510,410,334
515,398,306
520,383,279
525,370,253
530,360,233
535,353,215
540,343,195
545,334,178
550,324,164
555,317,148
560,309,137
565,304,127
570,298,119
575,293,113
580,287,107
585,286,102
590,281,98
595,279,94
600,276,92
