xm,ym,zm
150,925,890
155,925,890
160,922,888
165,924,889
170,923,890
175,923,889
180,917,885
185,915,885
190,919,888
195,919,887
200,919,888
205,921,891
210,922,892
215,920,891
220,919,890
225,917,887
230,914,884
235,918,889
240,920,890
245,921,892
250,918,889
255,917,889
260,918,891
265,918,890
270,917,889
275,915,889
280,912,884
285,915,886
290,914,888
295,911,884
300,914,887
305,911,884
310,912,885
315,912,886
320,912,887
325,914,888
330,917,891
335,917,891
340,914,889
345,914,888
350,916,890
355,913,887
360,916,888
365,916,890
370,913,888
375,916,889
380,912,888
385,912,888
390,913,889
395,914,889
400,911,886
