xm,ym,zm
0,367,279
5,368,281
10,369,283
15,372,286
20,374,291
25,376,294
30,379,298
35,383,302
40,383,305
45,386,308
50,386,310
55,389,315
60,392,318
65,408,426
70,670,783
75,794,838
80,859,863
85,891,875
90,910,883
95,916,883
100,924,883
105,923,881
110,926,885
115,927,886
120,928,888
125,931,889
130,930,889
135,928,888
140,929,890
145,926,888
150,922,885
155,923,885
160,923,885
165,926,889
170,926,891
175,927,890
180,924,888
185,928,891
190,923,888
195,924,890
200,921,887
205,922,887
210,920,885
215,919,885
220,922,889
225,920,886
230,922,888
235,924,891
240,920,887
245,921,888
250,922,888
255,924,891
260,919,886
265,919,887
270,916,883
275,919,886
280,921,889
285,919,887
290,919,887
295,918,887
300,915,884
305,915,884
310,914,883
315,917,887
320,917,887
325,919,888
330,920,889
335,918,888
340,920,890
345,919,889
350,915,886
355,916,886
360,914,884
365,913,882
370,913,884
375,917,886
380,914,885
385,918,889
390,917,888
395,917,888
400,918,890
405,916,887
410,918,890
415,919,889
420,914,886
425,915,886
430,926,892
435,917,887
440,904,881
445,891,879
450,867,869
455,832,853
460,798,840
465,754,822
470,706,803
475,656,780
480,606,750
485,562,717
490,520,677
495,482,633
500,455,591
505,432,547
510,413,501
515,393,454
520,378,412
525,367,375
530,356,344
535,347,317
540,339,293
545,334,274
550,327,259
555,322,246
560,318,233
565,315,225
570,312,219
575,308,212
580,305,205
585,302,199
590,300,193
595,300,189
600,298,186
