xm,ym,zm
0,327,202
5,329,205
10,330,208
15,333,213
20,338,219
25,340,222
30,343,228
35,346,231
40,350,236
45,352,240
50,356,245
55,358,248
60,360,252
65,364,263
70,568,697
75,746,813
80,829,850
85,871,867
90,896,875
95,903,876
100,918,883
105,924,886
110,925,886
115,924,882
120,922,882
125,924,886
130,930,891
135,927,890
140,927,888
145,923,886
150,921,884
155,923,888
160,923,887
165,922,887
170,923,890
175,924,889
180,923,888
185,922,889
190,922,888
195,923,891
200,921,887
205,922,889
210,922,890
215,923,891
220,923,892
225,918,887
230,921,891
235,922,891
240,920,889
245,918,889
250,921,890
255,918,888
260,921,890
265,916,888
270,917,887
275,918,889
280,918,887
285,918,888
290,913,885
295,912,884
300,913,885
305,914,886
310,913,885
315,911,882
320,913,885
325,912,884
330,913,885
335,913,885
340,918,890
345,913,885
350,912,884
355,911,881
360,912,884
365,912,884
370,915,886
375,912,882
380,910,882
385,911,884
390,911,883
395,911,883
400,911,884
405,907,881
410,910,883
415,912,885
420,913,886
425,914,884
430,920,888
435,914,887
440,898,878
445,882,871
450,861,864
455,833,850
460,801,840
465,759,822
470,720,806
475,674,784
480,626,757
485,586,730
490,546,695
495,511,659
500,482,621
505,456,582
510,433,539
515,412,497
520,397,459
525,385,424
530,373,393
535,365,367
540,357,344
545,352,325
550,345,311
555,342,298
560,339,287
565,334,279
570,332,270
575,329,263
580,327,257
585,325,254
590,325,250
595,324,245
600,324,244
