xm,ym,zm
0,332,220
5,335,225
10,339,230
15,343,236
20,345,240
25,349,246
30,353,250
35,352,255
40,355,259
45,358,264
50,362,269
55,364,273
60,367,279
65,370,291
70,659,742
75,767,823
80,825,855
85,858,866
90,877,868
95,888,869
100,898,872
105,904,875
110,909,878
115,914,882
120,911,879
125,911,880
130,910,879
135,911,880
140,908,879
145,906,877
150,905,878
155,906,880
160,905,879
165,906,879
170,908,882
175,909,884
180,910,883
185,907,882
190,905,880
195,905,881
200,907,883
205,905,882
210,907,885
215,908,884
220,905,881
225,904,881
230,907,884
235,903,881
240,903,883
245,903,882
250,903,881
255,905,884
260,901,881
265,904,884
270,903,882
275,905,883
280,902,882
285,901,880
290,902,883
295,902,881
300,897,879
305,898,878
310,900,881
315,897,878
320,897,878
325,900,881
330,900,881
335,897,879
340,898,879
345,897,879
350,900,880
355,896,878
360,900,881
365,897,879
370,900,882
375,897,878
380,900,882
385,900,883
390,900,883
395,899,882
400,897,881
405,896,881
410,896,880
415,899,882
420,898,882
425,897,878
430,910,883
435,904,883
440,899,881
445,885,875
450,875,873
455,860,867
460,839,857
465,818,847
470,795,839
475,766,823
480,737,809
485,704,791
490,674,776
495,645,759
500,614,735
505,586,714
510,557,686
515,532,662
520,510,635
525,489,606
530,469,577
535,453,548
540,435,516
545,422,488
550,408,459
555,399,432
560,387,405
565,375,378
570,366,353
575,358,330
580,349,308
585,343,289
590,335,271
595,330,255
600,326,242
