+1 1:65 2:309 3:43
+1 1:70 2:509 3:637
+1 1:75 2:756 3:806
+1 1:80 2:865 3:857
+1 1:85 2:904 3:876
+1 1:65 2:341 3:167
+1 1:70 2:745 3:669
+1 1:75 2:892 3:828
+1 1:80 2:917 3:860
+1 1:85 2:924 3:876
+1 1:65 2:370 3:291
+1 1:70 2:659 3:742
+1 1:75 2:767 3:823
+1 1:80 2:825 3:855
+1 1:85 2:858 3:866
+1 1:65 2:345 3:233
+1 1:70 2:561 3:710
+1 1:75 2:725 3:810
+1 1:80 2:815 3:847
+1 1:85 2:861 3:861
+1 1:65 2:372 3:272
+1 1:70 2:448 3:535
+1 1:75 2:617 3:741
+1 1:80 2:744 3:816
+1 1:85 2:833 3:852
+1 1:65 2:382 3:310
+1 1:70 2:573 3:714
+1 1:75 2:724 3:806
+1 1:80 2:812 3:844
+1 1:85 2:861 3:863
+1 1:65 2:364 3:263
+1 1:70 2:568 3:697
+1 1:75 2:746 3:813
+1 1:80 2:829 3:850
+1 1:85 2:871 3:867
+1 1:65 2:408 3:426
+1 1:70 2:670 3:783
+1 1:75 2:794 3:838
+1 1:80 2:859 3:863
+1 1:85 2:891 3:875
+1 1:65 2:580 3:692
+1 1:70 2:763 3:817
+1 1:75 2:833 3:849
+1 1:80 2:867 3:861
+1 1:85 2:888 3:871
-1 1:65 2:300 3:29
-1 1:70 2:509 3:531
-1 1:75 2:663 3:686
-1 1:80 2:740 3:737
-1 1:85 2:791 3:762
-1 1:65 2:309 3:60
-1 1:70 2:481 3:430
-1 1:75 2:637 3:658
-1 1:80 2:703 3:708
-1 1:85 2:742 3:728
-1 1:65 2:284 3:43
-1 1:70 2:301 3:92
-1 1:75 2:340 3:190
-1 1:80 2:376 3:247
-1 1:85 2:428 3:308
-1 1:65 2:284 3:43
-1 1:70 2:301 3:92
-1 1:75 2:340 3:190
-1 1:80 2:376 3:247
-1 1:85 2:428 3:308
-1 1:65 2:373 3:307
-1 1:70 2:380 3:336
-1 1:75 2:382 3:334
-1 1:80 2:390 3:339
-1 1:85 2:395 3:350
-1 1:65 2:341 3:277
-1 1:70 2:474 3:588
-1 1:75 2:537 3:662
-1 1:80 2:578 3:687
-1 1:85 2:605 3:690
-1 1:65 2:303 3:190
-1 1:70 2:474 3:633
-1 1:75 2:568 3:714
-1 1:80 2:629 3:740
-1 1:85 2:676 3:751
-1 1:65 2:311 3:268
-1 1:70 2:491 3:652
-1 1:75 2:571 3:717
-1 1:80 2:637 3:744
-1 1:85 2:690 3:758
-1 1:65 2:538 3:586
-1 1:70 2:746 3:742
-1 1:75 2:761 3:787
-1 1:80 2:782 3:802
-1 1:85 2:800 3:808
