+1 1:450 2:840 3:867
+1 1:455 2:802 3:853
+1 1:460 2:756 3:834
+1 1:465 2:708 3:816
+1 1:470 2:658 3:792
+1 1:475 2:610 3:767
+1 1:480 2:563 3:733
+1 1:485 2:521 3:694
+1 1:490 2:487 3:652
+1 1:495 2:456 3:605
+1 1:500 2:429 3:552
+1 1:450 2:788 3:841
+1 1:455 2:746 3:820
+1 1:460 2:698 3:801
+1 1:465 2:653 3:777
+1 1:470 2:605 3:749
+1 1:475 2:565 3:717
+1 1:480 2:525 3:677
+1 1:485 2:490 3:634
+1 1:490 2:464 3:595
+1 1:495 2:443 3:552
+1 1:500 2:423 3:508
+1 1:450 2:875 3:873
+1 1:455 2:860 3:867
+1 1:460 2:839 3:857
+1 1:465 2:818 3:847
+1 1:470 2:795 3:839
+1 1:475 2:766 3:823
+1 1:480 2:737 3:809
+1 1:485 2:704 3:791
+1 1:490 2:674 3:776
+1 1:495 2:645 3:759
+1 1:500 2:614 3:735
+1 1:450 2:832 3:861
+1 1:455 2:798 3:847
+1 1:460 2:755 3:830
+1 1:465 2:707 3:809
+1 1:470 2:658 3:784
+1 1:475 2:613 3:760
+1 1:480 2:568 3:727
+1 1:485 2:527 3:690
+1 1:490 2:491 3:648
+1 1:495 2:460 3:602
+1 1:500 2:431 3:550
+1 1:450 2:871 3:869
+1 1:455 2:853 3:863
+1 1:460 2:828 3:853
+1 1:465 2:798 3:839
+1 1:470 2:769 3:828
+1 1:475 2:734 3:812
+1 1:480 2:702 3:797
+1 1:485 2:667 3:780
+1 1:490 2:630 3:756
+1 1:495 2:597 3:734
+1 1:500 2:571 3:712
+1 1:450 2:849 3:863
+1 1:455 2:810 3:848
+1 1:460 2:769 3:831
+1 1:465 2:719 3:809
+1 1:470 2:668 3:785
+1 1:475 2:617 3:756
+1 1:480 2:569 3:722
+1 1:485 2:525 3:684
+1 1:490 2:485 3:636
+1 1:495 2:455 3:589
+1 1:500 2:428 3:537
+1 1:450 2:861 3:864
+1 1:455 2:833 3:850
+1 1:460 2:801 3:840
+1 1:465 2:759 3:822
+1 1:470 2:720 3:806
+1 1:475 2:674 3:784
+1 1:480 2:626 3:757
+1 1:485 2:586 3:730
+1 1:490 2:546 3:695
+1 1:495 2:511 3:659
+1 1:500 2:482 3:621
+1 1:450 2:867 3:869
