+1  1:0 2:303 3:40
+1  1:5 2:304 3:40
+1  1:10 2:304 3:41
+1  1:15 2:305 3:40
+1  1:20 2:306 3:40
+1  1:25 2:307 3:42
+1  1:30 2:309 3:41
+1  1:35 2:308 3:41
+1  1:40 2:309 3:42
+1  1:45 2:308 3:42
+1  1:50 2:310 3:42
+1  1:55 2:309 3:42
+1  1:60 2:309 3:41
+1  1:65 2:309 3:43
+1  1:70 2:509 3:637
+1  1:75 2:756 3:806
+1  1:80 2:865 3:857
+1  1:85 2:904 3:876
+1  1:90 2:922 3:885
+1  1:95 2:930 3:888
+1  1:100 2:935 3:890
+1  1:105 2:936 3:889
+1  1:110 2:934 3:889
+1  1:115 2:933 3:887
+1  1:120 2:935 3:891
+1  1:125 2:937 3:894
+1  1:130 2:934 3:891
+1  1:135 2:930 3:889
+1  1:140 2:931 3:890
+1  1:145 2:933 3:893
+1  1:150 2:932 3:896
+1  1:155 2:931 3:893
+1  1:160 2:927 3:890
+1  1:165 2:926 3:891
+1  1:170 2:928 3:892
+1  1:175 2:932 3:896
+1  1:180 2:933 3:897
+1  1:185 2:929 3:894
+1  1:190 2:930 3:894
+1  1:195 2:926 3:891
+1  1:200 2:924 3:890
+1  1:205 2:929 3:896
+1  1:210 2:929 3:896
+1  1:215 2:929 3:896
+1  1:220 2:925 3:894
+1  1:225 2:922 3:891
+1  1:230 2:924 3:894
+1  1:235 2:928 3:896
+1  1:240 2:925 3:894
+1  1:245 2:926 3:896
+1  1:250 2:927 3:896
+1  1:255 2:925 3:894
+1  1:260 2:922 3:892
+1  1:265 2:924 3:895
+1  1:270 2:927 3:897
+1  1:275 2:926 3:897
+1  1:280 2:924 3:895
+1  1:285 2:922 3:893
+1  1:290 2:921 3:894
+1  1:295 2:923 3:896
+1  1:300 2:924 3:895
+1  1:305 2:926 3:898
+1  1:310 2:924 3:896
+1  1:315 2:925 3:897
+1  1:320 2:923 3:896
+1  1:325 2:917 3:890
+1  1:330 2:918 3:891
+1  1:335 2:921 3:894
+1  1:340 2:919 3:894
+1  1:345 2:923 3:897
+1  1:350 2:924 3:898
+1  1:355 2:921 3:895
+1  1:360 2:923 3:897
+1  1:365 2:919 3:894
+1  1:370 2:915 3:890
+1  1:375 2:918 3:893
+1  1:380 2:919 3:895
+1  1:385 2:918 3:894
+1  1:390 2:919 3:893
+1  1:395 2:916 3:893
+1  1:400 2:917 3:893
+1  1:405 2:917 3:893
+1  1:410 2:921 3:898
+1  1:415 2:921 3:896
+1  1:420 2:917 3:893
+1  1:425 2:916 3:891
+1  1:430 2:913 3:889
+1  1:435 2:905 3:889
+1  1:440 2:891 3:884
+1  1:445 2:872 3:880
+1  1:450 2:840 3:867
+1  1:455 2:802 3:853
+1  1:460 2:756 3:834
+1  1:465 2:708 3:816
+1  1:470 2:658 3:792
+1  1:475 2:610 3:767
+1  1:480 2:563 3:733
+1  1:485 2:521 3:694
+1  1:490 2:487 3:652
+1  1:495 2:456 3:605
+1  1:500 2:429 3:552
+1  1:505 2:408 3:500
+1  1:510 2:392 3:452
+1  1:515 2:376 3:405
+1  1:520 2:362 3:362
+1  1:525 2:351 3:326
+1  1:530 2:343 3:293
+1  1:535 2:336 3:268
+1  1:540 2:329 3:246
+1  1:545 2:322 3:225
+1  1:550 2:319 3:211
+1  1:555 2:314 3:198
+1  1:560 2:312 3:188
+1  1:565 2:307 3:177
+1  1:570 2:305 3:170
+1  1:575 2:303 3:162
+1  1:580 2:300 3:156
+1  1:585 2:299 3:150
+1  1:590 2:296 3:145
+1  1:595 2:295 3:143
+1  1:600 2:294 3:139
+1  1:0 2:306 3:0
+1  1:5 2:307 3:128
+1  1:10 2:313 3:132
+1  1:15 2:315 3:135
+1  1:20 2:317 3:138
+1  1:25 2:320 3:142
+1  1:30 2:323 3:144
+1  1:35 2:328 3:149
+1  1:40 2:328 3:151
+1  1:45 2:330 3:154
+1  1:50 2:333 3:158
+1  1:55 2:337 3:161
+1  1:60 2:339 3:163
+1  1:65 2:341 3:167
+1  1:70 2:745 3:669
+1  1:75 2:892 3:828
+1  1:80 2:917 3:860
+1  1:85 2:924 3:876
+1  1:90 2:923 3:880
+1  1:95 2:923 3:880
+1  1:100 2:919 3:879
+1  1:105 2:915 3:875
+1  1:110 2:913 3:878
+1  1:115 2:916 3:878
+1  1:120 2:916 3:880
+1  1:125 2:916 3:881
+1  1:130 2:914 3:881
+1  1:135 2:912 3:880
+1  1:140 2:912 3:880
+1  1:145 2:912 3:880
+1  1:150 2:910 3:880
+1  1:155 2:910 3:879
+1  1:160 2:907 3:878
+1  1:165 2:909 3:881
+1  1:170 2:905 3:878
+1  1:175 2:908 3:879
+1  1:180 2:907 3:880
+1  1:185 2:910 3:883
+1  1:190 2:911 3:883
+1  1:195 2:909 3:884
+1  1:200 2:911 3:884
+1  1:205 2:908 3:883
+1  1:210 2:908 3:882
+1  1:215 2:906 3:882
+1  1:220 2:905 3:880
+1  1:225 2:904 3:880
+1  1:230 2:905 3:881
+1  1:235 2:908 3:886
+1  1:240 2:908 3:885
+1  1:245 2:905 3:882
+1  1:250 2:905 3:883
+1  1:255 2:905 3:882
+1  1:260 2:903 3:881
+1  1:265 2:904 3:880
+1  1:270 2:902 3:883
+1  1:275 2:903 3:882
+1  1:280 2:905 3:882
+1  1:285 2:907 3:885
+1  1:290 2:904 3:882
+1  1:295 2:901 3:879
+1  1:300 2:903 3:881
+1  1:305 2:902 3:882
+1  1:310 2:904 3:882
+1  1:315 2:903 3:882
+1  1:320 2:901 3:880
+1  1:325 2:898 3:878
+1  1:330 2:899 3:879
+1  1:335 2:901 3:882
+1  1:340 2:903 3:883
+1  1:345 2:903 3:886
+1  1:350 2:901 3:882
+1  1:355 2:903 3:884
+1  1:360 2:900 3:880
+1  1:365 2:897 3:878
+1  1:370 2:898 3:879
+1  1:375 2:899 3:882
+1  1:380 2:901 3:881
+1  1:385 2:899 3:880
+1  1:390 2:902 3:884
+1  1:395 2:902 3:883
+1  1:400 2:898 3:881
+1  1:405 2:899 3:881
+1  1:410 2:898 3:881
+1  1:415 2:896 3:878
+1  1:420 2:897 3:879
+1  1:425 2:901 3:882
+1  1:430 2:895 3:882
+1  1:435 2:877 3:874
+1  1:440 2:858 3:868
+1  1:445 2:826 3:853
+1  1:450 2:788 3:841
+1  1:455 2:746 3:820
+1  1:460 2:698 3:801
+1  1:465 2:653 3:777
+1  1:470 2:605 3:749
+1  1:475 2:565 3:717
+1  1:480 2:525 3:677
+1  1:485 2:490 3:634
+1  1:490 2:464 3:595
+1  1:495 2:443 3:552
+1  1:500 2:423 3:508
+1  1:505 2:408 3:468
+1  1:510 2:393 3:432
+1  1:515 2:383 3:400
+1  1:520 2:374 3:373
+1  1:525 2:367 3:352
+1  1:530 2:363 3:336
+1  1:535 2:356 3:320
