xm,ym,zm
0,269,108
5,269,110
10,272,112
15,276,116
20,278,118
25,281,121
30,282,124
35,287,127
40,288,130
45,289,132
50,293,135
55,294,138
60,298,140
65,303,190
70,474,633
75,568,714
80,629,740
85,676,751
90,711,759
95,738,768
100,750,771
105,760,774
110,766,776
115,768,776
120,769,775
125,773,779
130,774,779
135,773,780
140,775,781
145,772,778
150,772,780
155,776,783
160,777,785
165,775,783
170,775,783
175,774,783
180,771,780
185,772,783
190,776,785
195,774,783
200,777,785
205,772,782
210,771,781
215,774,783
220,773,784
225,773,783
230,776,786
235,769,780
240,773,783
245,772,783
250,773,783
255,774,783
260,772,783
265,769,779
270,770,781
275,772,784
280,775,786
285,775,786
290,772,783
295,773,784
300,770,781
305,768,780
310,772,784
315,773,786
320,774,786
325,773,785
330,773,782
335,771,782
340,768,780
345,767,778
350,768,780
355,772,783
360,772,783
365,772,784
370,770,782
375,770,782
380,773,785
385,768,778
390,769,781
395,769,780
400,769,782
405,769,783
410,768,780
415,771,783
420,769,780
425,771,780
430,765,777
435,749,769
440,727,754
445,704,737
450,676,716
455,644,687
460,613,657
465,582,625
470,553,591
475,526,555
480,499,515
485,474,475
490,452,434
495,431,392
500,408,349
505,392,309
510,374,272
515,358,238
520,345,210
525,336,186
530,326,165
535,318,149
540,310,134
545,302,123
550,295,113
555,290,105
560,287,100
565,281,95
570,278,90
575,272,85
580,270,83
585,267,80
590,264,78
595,262,76
600,260,74
