xm,ym,zm
0,281,43
5,285,45
10,285,46
15,287,46
20,288,47
25,293,49
30,294,50
35,297,51
40,298,52
45,299,53
50,303,55
55,302,55
60,305,56
65,309,60
70,481,430
75,637,658
80,703,708
85,742,728
90,773,740
95,796,750
100,810,756
105,818,761
110,820,762
115,815,757
120,815,756
125,813,755
130,813,756
135,809,751
140,802,744
145,794,736
150,782,729
155,779,731
160,775,730
165,771,729
170,770,729
175,774,733
180,772,731
185,770,729
190,771,731
195,768,728
200,765,725
205,764,725
210,766,727
215,764,725
220,767,729
225,771,733
230,769,730
235,769,730
240,768,730
245,766,728
250,763,725
255,765,727
260,765,726
265,762,725
270,766,730
275,769,733
280,766,730
285,768,732
290,766,729
295,761,725
300,763,728
305,768,732
310,768,732
315,767,731
320,766,730
325,764,728
330,761,726
335,760,726
340,767,731
345,765,729
350,764,728
355,763,728
360,762,727
365,760,725
370,763,729
375,762,728
380,762,728
385,761,727
390,761,727
395,759,725
400,758,724
405,754,720
410,756,723
415,756,723
420,757,723
425,760,727
430,759,726
435,753,720
440,754,722
445,755,722
450,751,720
455,735,708
460,714,688
465,690,664
470,664,634
475,634,602
480,607,568
485,583,533
490,553,488
495,526,443
500,497,393
505,473,347
510,450,301
515,431,259
520,412,220
525,395,186
530,378,157
535,365,133
540,355,114
545,344,99
550,335,85
555,326,76
560,315,68
565,310,61
570,306,57
575,301,52
580,296,49
585,293,45
590,284,43
595,283,41
600,281,39
605,278,38
610,275,38
615,274,37
620,270,36
625,268,35
630,266,35
