xm,ym,zm
0,287,26
5,289,25
10,289,25
15,289,25
20,292,26
25,291,27
30,294,27
35,293,28
40,294,27
45,297,28
50,299,28
55,298,28
60,299,29
65,300,29
70,509,531
75,663,686
80,740,737
85,791,762
90,827,778
95,849,788
100,856,789
105,863,794
110,865,797
115,867,801
120,874,809
125,872,808
130,870,808
135,872,811
140,868,808
145,864,805
150,866,807
155,867,808
160,865,809
165,872,814
170,868,811
175,867,811
180,866,810
185,863,809
190,864,808
195,862,808
200,866,812
205,867,814
210,866,814
215,867,813
220,864,811
225,864,811
230,863,811
235,861,809
240,859,807
245,860,810
250,857,806
255,862,811
260,863,813
265,864,814
270,866,815
275,864,814
280,862,813
285,864,815
290,866,816
295,861,812
300,859,810
305,858,809
310,857,809
315,859,811
320,860,811
325,856,809
330,858,809
335,858,810
340,861,813
345,861,814
350,863,815
355,862,814
360,862,814
365,861,815
370,862,814
375,863,815
380,861,815
385,861,815
390,862,815
395,857,810
400,857,811
405,856,810
410,855,809
415,858,813
420,862,816
425,860,813
430,862,817
435,857,812
440,852,808
445,843,803
450,824,788
455,803,773
460,778,753
465,750,730
470,723,706
475,693,677
480,663,648
485,631,611
490,599,573
495,567,532
500,537,486
505,507,440
510,482,395
515,460,351
520,436,303
525,415,259
530,396,218
535,378,185
540,367,158
545,355,134
550,344,115
555,335,101
560,327,90
565,318,80
570,312,73
575,308,67
580,303,62
585,300,59
590,296,55
595,293,52
600,290,50
605,285,48
610,284,47
615,284,46
620,282,45
