xm,ym,zm
150,425,386
155,429,390
160,430,393
165,431,394
170,432,396
175,432,398
180,434,401
185,436,403
190,437,404
195,436,407
200,439,408
205,440,410
210,443,414
215,442,414
220,442,416
225,445,419
230,447,423
235,449,424
240,452,427
245,451,429
250,454,432
255,455,432
260,455,435
265,456,435
270,455,435
275,457,438
280,458,440
285,459,441
290,460,443
295,461,444
300,461,447
305,465,450
310,467,452
315,466,452
320,468,454
325,468,456
330,467,455
335,468,456
340,471,459
345,471,459
350,472,461
355,473,463
360,475,465
365,477,469
370,477,468
375,478,470
380,480,472
385,479,472
390,481,474
395,479,474
400,480,474
