+1 1:0 2:303 3:40
+1 1:5 2:304 3:40
+1 1:10 2:304 3:41
+1 1:15 2:305 3:40
+1 1:20 2:306 3:40
+1 1:25 2:307 3:42
+1 1:30 2:309 3:41
+1 1:35 2:308 3:41
+1 1:40 2:309 3:42
+1 1:45 2:308 3:42
+1 1:50 2:310 3:42
+1 1:0 2:306 3:0
+1 1:5 2:307 3:128
+1 1:10 2:313 3:132
+1 1:15 2:315 3:135
+1 1:20 2:317 3:138
+1 1:25 2:320 3:142
+1 1:30 2:323 3:144
+1 1:35 2:328 3:149
+1 1:40 2:328 3:151
+1 1:45 2:330 3:154
+1 1:50 2:333 3:158
+1 1:0 2:332 3:220
+1 1:5 2:335 3:225
+1 1:10 2:339 3:230
+1 1:15 2:343 3:236
+1 1:20 2:345 3:240
+1 1:25 2:349 3:246
+1 1:30 2:353 3:250
+1 1:35 2:352 3:255
+1 1:40 2:355 3:259
+1 1:45 2:358 3:264
+1 1:50 2:362 3:269
+1 1:0 2:310 3:168
+1 1:5 2:311 3:171
+1 1:10 2:314 3:174
+1 1:15 2:317 3:180
+1 1:20 2:320 3:183
+1 1:25 2:322 3:187
+1 1:30 2:324 3:191
+1 1:35 2:328 3:195
+1 1:40 2:331 3:200
+1 1:45 2:334 3:203
+1 1:50 2:337 3:207
+1 1:0 2:337 3:216
+1 1:5 2:341 3:220
+1 1:10 2:343 3:224
+1 1:15 2:346 3:228
+1 1:20 2:348 3:233
+1 1:25 2:350 3:236
+1 1:30 2:351 3:239
+1 1:35 2:354 3:243
+1 1:40 2:357 3:247
+1 1:45 2:360 3:251
+1 1:50 2:364 3:256
+1 1:0 2:350 3:243
+1 1:5 2:353 3:245
+1 1:10 2:357 3:249
+1 1:15 2:360 3:253
+1 1:20 2:362 3:258
+1 1:25 2:364 3:261
+1 1:30 2:368 3:266
+1 1:35 2:369 3:269
+1 1:40 2:371 3:272
+1 1:45 2:373 3:275
+1 1:50 2:374 3:279
+1 1:0 2:327 3:202
+1 1:5 2:329 3:205
+1 1:10 2:330 3:208
+1 1:15 2:333 3:213
+1 1:20 2:338 3:219
+1 1:25 2:340 3:222
+1 1:30 2:343 3:228
+1 1:35 2:346 3:231
+1 1:40 2:350 3:236
+1 1:45 2:352 3:240
+1 1:50 2:356 3:245
+1 1:0 2:367 3:279
+1 1:5 2:368 3:281
+1 1:10 2:369 3:283
+1 1:15 2:372 3:286
+1 1:20 2:374 3:291
+1 1:25 2:376 3:294
+1 1:30 2:379 3:298
+1 1:35 2:383 3:302
+1 1:40 2:383 3:305
+1 1:45 2:386 3:308
+1 1:50 2:386 3:310
+1 1:0 2:361 3:263
+1 1:5 2:364 3:266
+1 1:10 2:367 3:271
+1 1:15 2:372 3:275
+1 1:20 2:371 3:278
+1 1:25 2:374 3:283
+1 1:30 2:374 3:285
+1 1:35 2:377 3:289
+1 1:40 2:379 3:293
+1 1:45 2:382 3:297
+1 1:50 2:386 3:302
-1 1:0 2:287 3:26
-1 1:5 2:289 3:25
-1 1:10 2:289 3:25
-1 1:15 2:289 3:25
-1 1:20 2:292 3:26
-1 1:25 2:291 3:27
-1 1:30 2:294 3:27
-1 1:35 2:293 3:28
-1 1:40 2:294 3:27
-1 1:45 2:297 3:28
-1 1:50 2:299 3:28
-1 1:0 2:281 3:43
-1 1:5 2:285 3:45
-1 1:10 2:285 3:46
-1 1:15 2:287 3:46
-1 1:20 2:288 3:47
-1 1:25 2:293 3:49
-1 1:30 2:294 3:50
-1 1:35 2:297 3:51
-1 1:40 2:298 3:52
-1 1:45 2:299 3:53
-1 1:50 2:303 3:55
-1 1:0 2:257 3:32
-1 1:5 2:260 3:33
-1 1:10 2:261 3:34
-1 1:15 2:264 3:34
-1 1:20 2:266 3:36
-1 1:25 2:268 3:36
-1 1:30 2:271 3:37
-1 1:35 2:274 3:38
-1 1:40 2:275 3:39
-1 1:45 2:278 3:39
-1 1:50 2:277 3:40
-1 1:0 2:257 3:32
-1 1:5 2:260 3:33
-1 1:10 2:261 3:34
-1 1:15 2:264 3:34
-1 1:20 2:266 3:36
-1 1:25 2:268 3:36
-1 1:30 2:271 3:37
-1 1:35 2:274 3:38
-1 1:40 2:275 3:39
-1 1:45 2:278 3:39
-1 1:50 2:277 3:40
-1 1:0 2:335 3:226
-1 1:5 2:339 3:232
-1 1:10 2:341 3:235
-1 1:15 2:344 3:241
-1 1:20 2:346 3:245
-1 1:25 2:348 3:249
-1 1:30 2:353 3:255
-1 1:35 2:355 3:259
-1 1:40 2:357 3:264
-1 1:45 2:360 3:268
-1 1:50 2:362 3:272
-1 1:0 2:300 3:157
-1 1:5 2:303 3:160
-1 1:10 2:305 3:164
-1 1:15 2:306 3:166
-1 1:20 2:309 3:169
-1 1:25 2:311 3:172
-1 1:30 2:314 3:175
-1 1:35 2:316 3:179
-1 1:40 2:318 3:181
-1 1:45 2:318 3:184
-1 1:50 2:320 3:188
-1 1:0 2:269 3:108
-1 1:5 2:269 3:110
-1 1:10 2:272 3:112
-1 1:15 2:276 3:116
-1 1:20 2:278 3:118
-1 1:25 2:281 3:121
-1 1:30 2:282 3:124
-1 1:35 2:287 3:127
-1 1:40 2:288 3:130
-1 1:45 2:289 3:132
-1 1:50 2:293 3:135
-1 1:0 2:253 3:84
-1 1:5 2:255 3:86
-1 1:10 2:258 3:89
-1 1:15 2:260 3:91
-1 1:20 2:261 3:95
-1 1:25 2:266 3:98
-1 1:30 2:267 3:100
-1 1:35 2:271 3:104
-1 1:40 2:274 3:106
-1 1:45 2:274 3:109
-1 1:50 2:278 3:112
-1 1:0 2:298 3:132
-1 1:5 2:300 3:134
-1 1:10 2:303 3:137
-1 1:15 2:306 3:141
-1 1:20 2:307 3:144
-1 1:25 2:309 3:145
-1 1:30 2:310 3:148
-1 1:35 2:313 3:149
-1 1:40 2:315 3:151
-1 1:45 2:315 3:154
-1 1:50 2:319 3:157
