+1 1:180 2:933 3:897
+1 1:250 2:927 3:896
+1 1:350 2:924 3:898
+1 1:180 2:907 3:880
+1 1:250 2:905 3:883
+1 1:350 2:901 3:882
+1 1:180 2:910 3:883
+1 1:250 2:903 3:881
+1 1:350 2:900 3:880
+1 1:180 2:921 3:889
+1 1:250 2:919 3:893
+1 1:350 2:915 3:890
+1 1:180 2:917 3:885
+1 1:250 2:918 3:889
+1 1:350 2:916 3:890
+1 1:180 2:918 3:884
+1 1:250 2:917 3:885
+1 1:350 2:916 3:888
+1 1:180 2:923 3:888
+1 1:250 2:921 3:890
+1 1:350 2:912 3:884
+1 1:180 2:924 3:888
+1 1:250 2:922 3:888
+1 1:350 2:915 3:886
+1 1:180 2:913 3:882
+1 1:250 2:907 3:879
+1 1:350 2:899 3:874
-1 1:180 2:866 3:810
-1 1:250 2:857 3:806
-1 1:350 2:863 3:815
-1 1:180 2:646 3:596
-1 1:250 2:645 3:600
-1 1:350 2:645 3:602
-1 1:180 2:646 3:596
-1 1:250 2:645 3:600
-1 1:350 2:645 3:602
-1 1:180 2:434 3:401
-1 1:250 2:454 3:432
-1 1:350 2:472 3:461
-1 1:180 2:665 3:698
-1 1:250 2:668 3:700
-1 1:350 2:668 3:698
-1 1:180 2:771 3:780
-1 1:250 2:773 3:783
-1 1:350 2:768 3:780
-1 1:180 2:793 3:794
-1 1:250 2:789 3:794
-1 1:350 2:785 3:790
-1 1:180 2:860 3:838
-1 1:250 2:857 3:839
-1 1:350 2:855 3:840
