xm,ym,zm
0,303,144
5,307,147
10,308,150
15,308,153
20,311,156
25,314,160
30,316,162
35,318,165
40,317,166
45,320,170
50,325,173
55,325,175
60,327,177
65,330,183
70,379,374
75,467,561
80,521,628
85,568,662
90,603,675
95,627,683
100,645,686
105,658,687
110,664,687
115,671,692
120,675,693
125,674,692
130,674,692
135,675,692
140,677,696
145,680,697
150,678,697
155,681,699
160,678,695
165,677,695
170,679,698
175,681,701
180,680,701
185,679,697
190,676,696
195,681,701
200,681,701
205,678,698
210,678,697
215,680,700
220,680,699
225,678,697
230,679,699
235,681,701
240,680,700
245,678,697
250,680,700
255,679,701
260,681,700
265,677,698
270,680,699
275,681,702
280,683,702
285,681,699
290,677,697
295,678,699
300,682,701
305,682,702
310,679,698
315,679,699
320,680,700
325,680,701
330,680,700
335,680,700
340,679,699
345,681,701
350,681,700
355,682,701
360,679,697
365,681,700
370,681,701
375,680,700
380,679,698
385,678,697
390,680,699
395,680,701
400,683,702
405,678,698
410,678,697
415,679,698
420,680,699
425,683,702
430,693,708
435,701,715
440,689,708
445,671,694
450,654,678
455,631,656
460,610,637
465,589,614
470,566,587
475,542,554
480,518,524
485,501,495
490,480,464
495,461,428
500,441,395
505,424,363
510,410,334
515,398,306
520,383,279
525,370,253
530,360,233
535,353,215
540,343,195
545,334,178
550,324,164
555,317,148
560,309,137
565,304,127
570,298,119
575,293,113
580,287,107
585,286,102
590,281,98
595,279,94
600,276,92
