xm,ym,zm
0,253,84
5,255,86
10,258,89
15,260,91
20,261,95
25,266,98
30,267,100
35,271,104
40,274,106
45,274,109
50,278,112
55,280,114
60,282,117
65,311,268
70,491,652
75,571,717
80,637,744
85,690,758
90,727,767
95,754,776
100,767,777
105,773,778
110,782,784
115,787,786
120,791,791
125,792,791
130,791,791
135,791,790
140,788,788
145,791,792
150,791,791
155,791,792
160,790,792
165,789,789
170,789,789
175,791,794
180,793,794
185,791,794
190,793,796
195,791,794
200,789,791
205,787,790
210,789,792
215,790,794
220,790,793
225,792,795
230,790,793
235,792,795
240,786,790
245,786,789
250,789,794
255,789,793
260,790,793
265,786,790
270,786,790
275,787,791
280,788,794
285,789,794
290,787,790
295,786,791
300,788,793
305,790,795
310,790,795
315,787,791
320,786,791
325,785,791
330,787,793
335,788,794
340,789,794
345,787,792
350,785,790
355,783,789
360,784,788
365,785,790
370,785,791
375,787,793
380,786,792
385,785,792
390,785,791
395,787,793
400,784,790
405,786,792
410,784,791
415,783,789
420,784,790
425,789,791
430,783,790
435,765,779
440,738,761
445,712,743
450,684,722
455,655,697
460,623,670
465,593,640
470,561,605
475,530,565
480,502,525
485,474,482
490,447,435
495,425,387
500,401,339
505,382,297
510,368,259
515,353,225
520,340,196
525,329,172
530,317,151
535,310,136
540,304,123
545,297,114
550,292,106
555,287,101
560,282,95
565,276,91
570,275,89
575,271,86
580,268,83
585,266,81
590,264,79
595,261,78
600,260,77
